id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
3,Austria Wien,FC Porto,0-1,fase_de_grupos,,
4,Atlético de Madrid,Zenit,3-1,fase_de_grupos,,
5,Chelsea,Basel,1-2,fase_de_grupos,,
6,Schalke,FCSB,3-0,fase_de_grupos,,
7,Bayern,CSKA Moskva,3-0,fase_de_grupos,,
8,Olympiacos,Paris,1-4,fase_de_grupos,,
9,Napoli,Dortmund,2-1,fase_de_grupos,,
10,Marseille,Arsenal,1-2,fase_de_grupos,,
11,Viktoria Plzeň,Man City,0-3,fase_de_grupos,,
12,Benfica,Anderlecht,2-0,fase_de_grupos,,
13,Copenhagen,Juventus,1-1,fase_de_grupos,,
14,Galatasaray,Real Madrid,1-6,fase_de_grupos,,
15,Man United,Leverkusen,4-2,fase_de_grupos,,
16,Real Sociedad,Shakhtar Donetsk,0-2,fase_de_grupos,,
17,Man City,Bayern,1-3,fase_de_grupos,,
18,Anderlecht,Olympiacos,0-3,fase_de_grupos,,
19,Real Madrid,Copenhagen,4-0,fase_de_grupos,,
20,Juventus,Galatasaray,2-2,fase_de_grupos,,
21,Shakhtar Donetsk,Man United,1-1,fase_de_grupos,,
22,CSKA Moskva,Viktoria Plzeň,3-2,fase_de_grupos,,
23,Ajax,Milan,1-1,fase_de_grupos,,
24,FC Porto,Atlético de Madrid,1-2,fase_de_grupos,,
25,Dortmund,Marseille,3-0,fase_de_grupos,,
26,FCSB,Chelsea,0-4,fase_de_grupos,,
27,Zenit,Austria Wien,0-0,fase_de_grupos,,
28,Paris,Benfica,3-0,fase_de_grupos,,
29,Leverkusen,Real Sociedad,2-1,fase_de_grupos,,
30,Celtic,Barcelona,0-1,fase_de_grupos,,
31,Arsenal,Napoli,2-0,fase_de_grupos,,
32,Basel,Schalke,0-1,fase_de_grupos,,
33,Bayern,Viktoria Plzeň,5-0,fase_de_grupos,,
34,Galatasaray,Copenhagen,3-1,fase_de_grupos,,
35,Benfica,Olympiacos,1-1,fase_de_grupos,,
36,Anderlecht,Paris,0-5,fase_de_grupos,,
37,Leverkusen,Shakhtar Donetsk,4-0,fase_de_grupos,,
38,Real Madrid,Juventus,2-1,fase_de_grupos,,
39,Man United,Real Sociedad,1-0,fase_de_grupos,,
40,CSKA Moskva,Man City,1-2,fase_de_grupos,,
41,Celtic,Ajax,2-1,fase_de_grupos,,
42,Austria Wien,Atlético de Madrid,0-3,fase_de_grupos,,
43,Milan,Barcelona,1-1,fase_de_grupos,,
44,FC Porto,Zenit,0-1,fase_de_grupos,,
45,Marseille,Napoli,1-2,fase_de_grupos,,
46,Arsenal,Dortmund,1-2,fase_de_grupos,,
47,FCSB,Basel,1-1,fase_de_grupos,,
48,Schalke,Chelsea,0-3,fase_de_grupos,,
49,Barcelona,Milan,3-1,fase_de_grupos,,
50,Ajax,Celtic,1-0,fase_de_grupos,,
51,Atlético de Madrid,Austria Wien,4-0,fase_de_grupos,,
52,Napoli,Marseille,3-2,fase_de_grupos,,
53,Dortmund,Arsenal,0-1,fase_de_grupos,,
54,Chelsea,Schalke,3-0,fase_de_grupos,,
55,Basel,FCSB,1-1,fase_de_grupos,,
56,Zenit,FC Porto,1-1,fase_de_grupos,,
57,Viktoria Plzeň,Bayern,0-1,fase_de_grupos,,
58,Man City,CSKA Moskva,5-2,fase_de_grupos,,
59,Olympiacos,Benfica,1-0,fase_de_grupos,,
60,Paris,Anderlecht,1-1,fase_de_grupos,,
61,Copenhagen,Galatasaray,1-0,fase_de_grupos,,
62,Juventus,Real Madrid,2-2,fase_de_grupos,,
63,Shakhtar Donetsk,Leverkusen,0-0,fase_de_grupos,,
64,Real Sociedad,Man United,0-0,fase_de_grupos,,
65,Man City,Viktoria Plzeň,4-2,fase_de_grupos,,
66,Paris,Olympiacos,2-1,fase_de_grupos,,
67,Juventus,Copenhagen,3-1,fase_de_grupos,,
68,Real Madrid,Galatasaray,4-1,fase_de_grupos,,
69,Leverkusen,Man United,0-5,fase_de_grupos,,
70,CSKA Moskva,Bayern,1-3,fase_de_grupos,,
71,Celtic,Milan,0-3,fase_de_grupos,,
72,FC Porto,Austria Wien,1-1,fase_de_grupos,,
73,Arsenal,Marseille,2-0,fase_de_grupos,,
74,Basel,Chelsea,1-0,fase_de_grupos,,
75,Zenit,Atlético de Madrid,1-1,fase_de_grupos,,
76,Anderlecht,Benfica,2-3,fase_de_grupos,,
77,Shakhtar Donetsk,Real Sociedad,4-0,fase_de_grupos,,
78,Ajax,Barcelona,2-1,fase_de_grupos,,
79,Dortmund,Napoli,3-1,fase_de_grupos,,
80,FCSB,Schalke,0-0,fase_de_grupos,,
81,Barcelona,Celtic,6-1,fase_de_grupos,,
82,Milan,Ajax,0-0,fase_de_grupos,,
83,Austria Wien,Zenit,4-1,fase_de_grupos,,
84,Atlético de Madrid,FC Porto,2-0,fase_de_grupos,,
85,Chelsea,FCSB,1-0,fase_de_grupos,,
86,Schalke,Basel,2-0,fase_de_grupos,,
87,Viktoria Plzeň,CSKA Moskva,2-1,fase_de_grupos,,
88,Bayern,Man City,2-3,fase_de_grupos,,
89,Napoli,Arsenal,2-0,fase_de_grupos,,
90,Marseille,Dortmund,1-2,fase_de_grupos,,
91,Galatasaray,Juventus,1-0,fase_de_grupos,,
92,Benfica,Paris,2-1,fase_de_grupos,,
93,Olympiacos,Anderlecht,3-1,fase_de_grupos,,
94,Man United,Shakhtar Donetsk,1-0,fase_de_grupos,,
95,Copenhagen,Real Madrid,0-2,fase_de_grupos,,
96,Real Sociedad,Leverkusen,0-1,fase_de_grupos,,
97,Milan,Atlético de Madrid,,octavos,0-1,1-4
98,Arsenal,Bayern,,octavos,0-2,1-1
99,Man City,Barcelona,,octavos,0-2,1-2
100,Schalke,Real Madrid,,octavos,1-6,1-3
101,Galatasaray,Chelsea,,octavos,1-1,0-2
102,Zenit,Dortmund,,octavos,2-4,1-2
103,Olympiacos,Man United,,octavos,2-0,0-3
104,Leverkusen,Paris,,octavos,0-4,1-2
105,Atlético de Madrid,Barcelona,,cuartos,1-1,1-0
106,Chelsea,Paris,,cuartos,1-3,2-0
107,Bayern,Man United,,cuartos,1-1,3-1
108,Real Madrid,Dortmund,,cuartos,3-0,0-2
109,Bayern,Real Madrid,,semis,0-1,0-4
110,Atlético de Madrid,Chelsea,,semis,0-0,3-1
111,Real Madrid,Atlético de Madrid,4-1,final,,
