
Partidos de la fase de grupos y octavos de final de la Champions League 2013-2014:
id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta,tiros_local,tiros_visitante,tiros_puerta_local,tiros_puerta_visitante,goles_local,goles_visitante,penaltis_local,penaltis_visitante,corner_local,corner_visitante,offside_local,offside_visitante,faltas_local,faltas_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,victorias_historicas_local,empates_historicos,victorias_historicas_visitante

1.,Real Madrid,Galatasaray,4-1,fase_de_grupos,,6-1,10-12,4-5,2-2,1-2,0-0,5-4,2-1,12-11,2-1,0-0,3-3,4

2.,Juventus,Copenhague,3-1,fase_de_grupos,,2-1,1-0,14-10,5-3,4-2,2-1,3-1,0-0,7-5,2-1,11-12,2-1,0-0,3-3,4

3.,Chelsea,Schalke 04,3-0,fase_de_grupos,,3-0,12-14,5-4,2-2,2-1,1-0,0-0,5-4,2-1,10-11,2-1,0-0,3-3,4

4.,Basel,Steaua de Bucarest,1-1,fase_de_grupos,,1-0,0-1,11-13,4-5,3-2,1-2,1-1,0-0,4-5,1-1,10-12,1-1,0-0,3-3,3

5.,Manchester United,Bayer Leverkusen,4-2,fase_de_grupos,,5-0,1-2,16-13,6-5,6-3,3-2,4-2,0-0,7-5,2-1,11-12,2-1,0-0,3-3,4

6.,Shakhtar Donetsk,Real Sociedad,0-2,fase_de_grupos,,0-2,10-12,3-4,1-2,1-1,0-2,0-0,4-5,1-1,11-10,1-1,0-0,2-3,3

7.,Bayern Munich,Viktoria Plzen,5-0,fase_de_grupos,,1-0,4-0,14-10,5-3,5-2,2-1,5-0,0-0,6-4,2-1,11-12,2-1,0-0,3-3,4

8.,Manchester City,CSKA Moscú,5-2,fase_de_grupos,,2-1,3-1,14-12,5-4,4-2,2-1,5-2,0-0,6-5,2-1,10-11,2-1,0-0,3-3,4

9.,Paris Saint Germain,Olympiacos,4-1,fase_de_grupos,,2-1,2-0,13-11,5-4,4-2,2-1,4-1,0-0,6-5,2-1,10-12,2-1,0-0,3-3,4

10.,Benfica,Anderlecht,2-1,fase_de_grupos,,1-0,1-1,13-12,4-5,4-2,2-1,2-1,0-0,5-4,2-1,11-10,1-1,0-0,3-3,4
