id_partido,equipo_local,equipo_visitante,resultado_final
1,Juventus,Sevilla,0-0
2,Lyon,Dinamo Zagreb,3-0
3,Club Brugge,Leicester,0-3
4,FC Porto,Copenhagen,1-1
5,Legia,Dortmund,0-6
6,Real Madrid,Sporting CP,2-1
7,Tottenham,Monaco,1-2
8,Leverkusen,CSKA Moskva,2-2
9,Man City,Mönchengladbach,4-0
10,Bayern,Rostov,5-0
11,Barcelona,Celtic,7-0
12,PSV,Atlético de Madrid,0-1
13,Benfica,Beşiktaş,1-1
14,Dynamo Kyiv,Napoli,1-2
15,Paris,Arsenal,1-1
16,Basel,Ludogorets,1-1
17,Rostov,PSV,2-2
18,Atlético de Madrid,Bayern,1-0
19,Mönchengladbach,Barcelona,1-2
20,Celtic,Man City,3-3
21,Napoli,Benfica,4-2
22,Besiktas,Dynamo Kyiv,1-1
23,Arsenal,Basel,2-0
24,Ludogorets,Paris,1-3
25,Sevilla,Lyon,1-0
26,Dinamo Zagreb,Juventus,0-4
27,Sporting CP,Legia,2-0
28,Dortmund,Real Madrid,2-2
29,Monaco,Leverkusen,1-1
30,CSKA Moskva,Tottenham,0-1
31,Leicester,FC Porto,1-0
32,Copenhagen,Club Brugge,4-0
33,Bayern,PSV,4-1
34,Rostov,Atlético de Madrid,0-1
35,Celtic,Mönchengladbach,0-2
36,Barcelona,Man City,4-0
37,Dynamo Kyiv,Benfica,0-2
38,Napoli,Besiktas,2-3
39,Paris,Basel,3-0
40,Arsenal,Ludogorets,6-0
41,Dinamo Zagreb,Sevilla,0-1
42,Lyon,Juventus,0-1
43,Club Brugge,FC Porto,1-2
44,Leicester,Copenhagen,1-0
45,Real Madrid,Legia,5-1
46,Sporting CP,Dortmund,1-2
47,CSKA Moskva,Monaco,1-1
48,Leverkusen,Tottenham,0-0
49,Juventus,Lyon,1-1
50,Sevilla,Dinamo Zagreb,4-0
51,Copenhagen,Leicester,0-0
52,FC Porto,Club Brugge,1-0
53,Legia,Real Madrid,3-3
54,Dortmund,Sporting CP,1-0
55,Tottenham,Leverkusen,0-1
56,Monaco,CSKA Moskva,3-0
57,Atlético de Madrid,Rostov,2-1
58,PSV,Bayern,1-2
59,Man City,Barcelona,3-1
60,Mönchengladbach,Celtic,1-1
61,Benfica,Dynamo Kyiv,1-0
62,Besiktas,Napoli,1-1
63,Basel,Paris,1-2
64,Ludogorets,Arsenal,2-3
65,Atlético de Madrid,PSV,2-0
66,Napoli,Dynamo Kyiv,0-0
67,Besiktas,Benfica,3-3
68,Dinamo Zagreb,Lyon,0-1
69,Mönchengladbach,Man City,1-1
70,Celtic,Barcelona,0-2
71,Arsenal,Paris,2-2
72,Ludogorets,Basel,0-0
73,Rostov,Bayern,3-2
74,Sevilla,Juventus,1-3
75,Copenhagen,FC Porto,0-0
76,Leicester,Club Brugge,2-1
77,Dortmund,Legia,8-4
78,Sporting CP,Real Madrid,1-2
79,CSKA Moskva,Leverkusen,1-1
80,Monaco,Tottenham,2-1
81,Juventus,Dinamo Zagreb,2-0
82,Lyon,Sevilla,0-0
83,Club Brugge,Copenhagen,0-2
84,FC Porto,Leicester,5-0
85,Tottenham,CSKA Moskva,3-1
86,Leverkusen,Monaco,3-0
87,Bayern,Atlético de Madrid,1-0
88,Man City,Celtic,1-1
89,Benfica,Napoli,1-2
90,Dynamo Kyiv,Besiktas,6-0
91,Paris,Ludogorets,2-2
92,PSV,Rostov,0-0
93,Legia,Sporting CP,1-0
94,Real Madrid,Dortmund,2-2
95,Arsenal,Basel,4-1
96,Barcelona,Mönchengladbach,4-0
