id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1.0,Milan,Newcastle United,0-0,fase_de_grupos,,
2.0,BSC Young Boys,RB Leipzig,1-3,fase_de_grupos,,
3.0,Feyenoord Rotterdam,Celtic FC,2-0,fase_de_grupos,,
4.0,SS Lazio,Atletico Madrid,1-1,fase_de_grupos,,
5.0,Paris Saint-Germain,Borussia Dortmund,2-0,fase_de_grupos,,
6.0,Manchester City,Red Star Belgrade,3-1,fase_de_grupos,,
7.0,FC Barcelona,Royal Antwerp FC,5-0,fase_de_grupos,,
8.0,Shakhtar,Porto,1-3,fase_de_grupos,,
9.0,Galatasaray A.S.,FC Copenhagen,2-2,fase_de_grupos,,
10.0,Real Madrid,Union Berlin,1-0,fase_de_grupos,,
11.0,FC Bayern Munich,Manchester United,4-3,fase_de_grupos,,
12.0,Arsenal,PSV Eindhoven,4-0,fase_de_grupos,,
13.0,Sevilla FC,RC Lens,1-1,fase_de_grupos,,
14.0,SC Braga,SSC Napoli,1-2,fase_de_grupos,,
15.0,Real Sociedad,Inter,1-1,fase_de_grupos,,
16.0,SL Benfica,RB Salzburg,0-2,fase_de_grupos,,
17.0,Union Berlin,SC Braga,2-3,fase_de_grupos,,
18.0,RB Salzburg,Real Sociedad,0-2,fase_de_grupos,,
19.0,Manchester United,Galatasaray A.S.,2-3,fase_de_grupos,,
20.0,FC Copenhagen,FC Bayern Munich,1-2,fase_de_grupos,,
21.0,RC Lens,Arsenal,2-1,fase_de_grupos,,
22.0,PSV Eindhoven,Sevilla FC,2-2,fase_de_grupos,,
23.0,SSC Napoli,Real Madrid,2-3,fase_de_grupos,,
24.0,Inter,SL Benfica,1-0,fase_de_grupos,,
25.0,Atletico Madrid,Feyenoord Rotterdam,3-2,fase_de_grupos,,
26.0,Royal Antwerp FC,Shakhtar,2-3,fase_de_grupos,,
27.0,Celtic FC,SS Lazio,1-2,fase_de_grupos,,
28.0,Borussia Dortmund,Milan,0-0,fase_de_grupos,,
29.0,Newcastle United,Paris Saint-Germain,4-1,fase_de_grupos,,
30.0,RB Leipzig,Manchester City,1-3,fase_de_grupos,,
31.0,Red Star Belgrade,BSC Young Boys,2-2,fase_de_grupos,,
32.0,Porto,FC Barcelona,0-1,fase_de_grupos,,
33.0,Galatasaray A.S.,FC Bayern Munich,1-3,fase_de_grupos,,
34.0,Inter,RB Salzburg,2-1,fase_de_grupos,,
35.0,Manchester United,FC Copenhagen,1-0,fase_de_grupos,,
36.0,Sevilla FC,Arsenal,1-2,fase_de_grupos,,
37.0,RC Lens,PSV Eindhoven,1-1,fase_de_grupos,,
38.0,SC Braga,Real Madrid,1-2,fase_de_grupos,,
39.0,Union Berlin,SSC Napoli,0-1,fase_de_grupos,,
40.0,SL Benfica,Real Sociedad,0-1,fase_de_grupos,,
41.0,Feyenoord Rotterdam,SS Lazio,3-1,fase_de_grupos,,
42.0,FC Barcelona,Shakhtar,2-1,fase_de_grupos,,
43.0,Celtic FC,Atletico Madrid,2-2,fase_de_grupos,,
44.0,Paris Saint-Germain,Milan,3-0,fase_de_grupos,,
45.0,Newcastle United,Borussia Dortmund,0-1,fase_de_grupos,,
46.0,RB Leipzig,Red Star Belgrade,3-1,fase_de_grupos,,
47.0,BSC Young Boys,Manchester City,1-3,fase_de_grupos,,
48.0,Royal Antwerp FC,Porto,1-4,fase_de_grupos,,
49.0,Borussia Dortmund,Newcastle United,2-0,fase_de_grupos,,
50.0,Shakhtar,FC Barcelona,1-0,fase_de_grupos,,
