id_partido,equipo_local,equipo_visitante,resultado_final,fase,resultado_ida,resultado_vuelta
1.0,Milan,Newcastle United,0-0,fase_de_grupos,1-0,0-0
2.0,BSC Young Boys,RB Leipzig,1-3,fase_de_grupos,0-1,0-3
3.0,Feyenoord Rotterdam,Celtic FC,2-0,fase_de_grupos,1-0,0-0
4.0,SS Lazio,Atletico Madrid,1-1,fase_de_grupos,1-0,1-2
5.0,Paris Saint-Germain,Borussia Dortmund,2-0,fase_de_grupos,2-1,0-2
6.0,Manchester City,Red Star Belgrade,3-1,fase_de_grupos,0-1,0-0
7.0,FC Barcelona,Royal Antwerp FC,5-0,fase_de_grupos,3-0,0-2
8.0,Shakhtar,Porto,1-3,fase_de_grupos,2-0,1-3
9.0,Galatasaray A.S.,FC Copenhagen,2-2,fase_de_grupos,1-0,0-0
10.0,Real Madrid,Union Berlin,1-0,fase_de_grupos,2-0,1-0
11.0,FC Bayern Munich,Manchester United,4-3,fase_de_grupos,1-1,0-1
12.0,Arsenal,PSV Eindhoven,4-0,fase_de_grupos,0-0,0-0
13.0,Sevilla FC,RC Lens,1-1,fase_de_grupos,0-0,0-0
14.0,SC Braga,SSC Napoli,1-2,fase_de_grupos,0-2,0-3
15.0,Real Sociedad,Inter,1-1,fase_de_grupos,0-2,0-1
16.0,SL Benfica,RB Salzburg,0-2,fase_de_grupos,1-3,3-3
17.0,Union Berlin,SC Braga,2-3,fase_de_grupos,1-0,0-0
18.0,RB Salzburg,Real Sociedad,0-2,fase_de_grupos,1-0,1-3
19.0,Manchester United,Galatasaray A.S.,2-3,fase_de_grupos,0-2,3-1
20.0,FC Copenhagen,FC Bayern Munich,1-2,fase_de_grupos,1-1,0-7
21.0,RC Lens,Arsenal,2-1,fase_de_grupos,0-2,3-1
22.0,PSV Eindhoven,Sevilla FC,2-2,fase_de_grupos,2-1,1-0
23.0,SSC Napoli,Real Madrid,2-3,fase_de_grupos,1-2,1-3
24.0,Inter,SL Benfica,1-0,fase_de_grupos,1-0,0-0
25.0,Atletico Madrid,Feyenoord Rotterdam,3-2,fase_de_grupos,1-0,0-0
26.0,Royal Antwerp FC,Shakhtar,2-3,fase_de_grupos,0-0,7-0
27.0,Celtic FC,SS Lazio,1-2,fase_de_grupos,1-0,0-0
28.0,Borussia Dortmund,Milan,0-0,fase_de_grupos,1-0,0-2
29.0,Newcastle United,Paris Saint-Germain,4-1,fase_de_grupos,1-2,1-0
30.0,RB Leipzig,Manchester City,1-3,fase_de_grupos,1-1,0-7
31.0,Red Star Belgrade,BSC Young Boys,2-2,fase_de_grupos,1-0,0-0
32.0,Porto,FC Barcelona,0-1,fase_de_grupos,1-1,0-1
33.0,Galatasaray A.S.,FC Bayern Munich,1-3,fase_de_grupos,0-3,1-2
34.0,Inter,RB Salzburg,2-1,fase_de_grupos,1-0,0-0
35.0,Manchester United,FC Copenhagen,1-0,fase_de_grupos,0-2,3-1
36.0,Sevilla FC,Arsenal,1-2,fase_de_grupos,0-2,3-1
37.0,RC Lens,PSV Eindhoven,1-1,fase_de_grupos,0-0,0-0
38.0,SC Braga,Real Madrid,1-2,fase_de_grupos,1-2,1-3
39.0,Union Berlin,SSC Napoli,0-1,fase_de_grupos,0-2,0-3
40.0,SL Benfica,Real Sociedad,0-1,fase_de_grupos,1-0,3-3
41.0,Feyenoord Rotterdam,SS Lazio,3-1,fase_de_grupos,1-0,0-0
42.0,FC Barcelona,Shakhtar,2-1,fase_de_grupos,3-0,7-0
